DATE	TIME	FIELD
02.06.2025	07:47:20.999	55181.37
02.06.2025	07:47:41.000	55182.057
02.06.2025	07:48:00.999	55182.415
02.06.2025	07:48:20.999	55182.889
02.06.2025	07:48:40.999	55183.335
02.06.2025	07:49:00.999	55183.501
02.06.2025	07:49:20.999	55183.767
02.06.2025	07:49:40.999	55183.549
02.06.2025	07:50:00.999	55183.662
02.06.2025	07:50:20.999	55183.916
02.06.2025	07:50:40.999	55183.637
02.06.2025	07:51:00.999	55183.524
02.06.2025	07:51:20.999	55183.322
02.06.2025	07:51:40.999	55183.002
02.06.2025	07:52:00.999	55183.064
02.06.2025	07:52:20.999	55183.159
02.06.2025	07:52:40.999	55183.321
02.06.2025	07:53:00.999	55183.882
02.06.2025	07:53:20.999	55184.015
02.06.2025	07:53:40.999	55183.984
02.06.2025	07:54:00.999	55183.762
02.06.2025	07:54:20.999	55184.217
02.06.2025	07:54:40.999	55184.646
02.06.2025	07:55:00.999	55185.135
02.06.2025	07:55:20.999	55185.426
02.06.2025	07:55:40.999	55185.809
02.06.2025	07:56:00.999	55185.846
02.06.2025	07:56:20.999	55185.774
02.06.2025	07:56:40.999	55185.652
02.06.2025	07:57:00.999	55185.925
02.06.2025	07:57:20.999	55186.364
02.06.2025	07:57:40.999	55186.601
02.06.2025	07:58:00.999	55186.748
02.06.2025	07:58:20.999	55187.275
02.06.2025	07:58:40.999	55187.481
02.06.2025	07:59:00.999	55187.958
02.06.2025	07:59:20.999	55188.157
02.06.2025	07:59:40.999	55188.414
02.06.2025	08:00:00.999	55188.465
02.06.2025	08:00:20.999	55188.689
02.06.2025	08:00:40.999	55188.728
02.06.2025	08:01:00.999	55188.726
02.06.2025	08:01:20.999	55188.803
02.06.2025	08:01:40.999	55188.827
02.06.2025	08:02:00.999	55189.236
02.06.2025	08:02:20.999	55189.284
02.06.2025	08:02:40.999	55189.651
02.06.2025	08:03:00.999	55190.163
02.06.2025	08:03:20.999	55190.439
02.06.2025	08:03:40.999	55190.646
02.06.2025	08:04:00.999	55190.97
02.06.2025	08:04:20.999	55191.301
02.06.2025	08:04:40.999	55191.823
02.06.2025	08:05:00.999	55192.449
02.06.2025	08:05:20.999	55193.029
02.06.2025	08:05:40.999	55193.122
02.06.2025	08:06:00.999	55193.128
02.06.2025	08:06:20.999	55193.092
02.06.2025	08:06:40.999	55192.818
02.06.2025	08:07:00.999	55192.305
02.06.2025	08:07:20.999	55191.533
02.06.2025	08:07:40.999	55191.263
02.06.2025	08:08:00.999	55191.437
02.06.2025	08:08:20.999	55191.536
02.06.2025	08:08:40.999	55191.396
02.06.2025	08:09:00.999	55191.784
02.06.2025	08:09:20.999	55191.791
02.06.2025	08:09:40.999	55191.808
02.06.2025	08:10:00.999	55191.88
02.06.2025	08:10:20.999	55191.871
02.06.2025	08:10:40.999	55192.088
02.06.2025	08:11:00.999	55192.459
02.06.2025	08:11:20.999	55192.87
02.06.2025	08:11:40.999	55193.047
02.06.2025	08:12:00.999	55193.336
02.06.2025	08:12:20.999	55193.238
02.06.2025	08:12:40.999	55193.247
02.06.2025	08:13:00.999	55193.649
02.06.2025	08:13:20.999	55194.074
02.06.2025	08:13:40.999	55194.428
02.06.2025	08:14:00.999	55194.473
02.06.2025	08:14:20.999	55194.688
02.06.2025	08:14:40.999	55194.719
02.06.2025	08:15:00.999	55194.552
02.06.2025	08:15:20.999	55194.699
02.06.2025	08:15:40.999	55194.642
02.06.2025	08:16:00.999	55194.302
02.06.2025	08:16:20.999	55194.164
02.06.2025	08:16:40.999	55193.992
02.06.2025	08:17:00.999	55194.124
02.06.2025	08:17:20.999	55194.71
02.06.2025	08:17:40.999	55195.206
02.06.2025	08:18:00.999	55195.653
02.06.2025	08:18:20.999	55196.345
02.06.2025	08:18:40.999	55196.867
02.06.2025	08:19:00.999	55197.514
02.06.2025	08:19:20.999	55197.826
02.06.2025	08:19:40.999	55198.604
02.06.2025	08:20:00.999	55199.528
02.06.2025	08:20:20.999	55200.416
02.06.2025	08:20:40.999	55201.085
02.06.2025	08:21:00.999	55201.614
02.06.2025	08:21:20.999	55201.997
02.06.2025	08:21:40.999	55202.634
02.06.2025	08:22:00.999	55203.471
02.06.2025	08:22:20.999	55204.026
02.06.2025	08:22:40.999	55204.605
02.06.2025	08:23:00.999	55205.135
02.06.2025	08:23:20.999	55205.537
02.06.2025	08:23:40.999	55205.327
02.06.2025	08:24:00.999	55205.373
02.06.2025	08:24:20.999	55205.367
02.06.2025	08:24:40.999	55205.47
02.06.2025	08:25:00.999	55205.883
02.06.2025	08:25:20.999	55206.346
02.06.2025	08:25:40.999	55206.644
02.06.2025	08:26:00.999	55206.952
02.06.2025	08:26:20.999	55207.229
02.06.2025	08:26:40.999	55207.33
02.06.2025	08:27:00.999	55207.416
02.06.2025	08:27:20.999	55207.588
02.06.2025	08:27:40.999	55207.812
02.06.2025	08:28:00.999	55207.786
02.06.2025	08:28:20.999	55207.731
02.06.2025	08:28:40.999	55208.096
02.06.2025	08:29:00.999	55209.447
02.06.2025	08:29:20.999	55210.387
02.06.2025	08:29:40.999	55211.171
02.06.2025	08:30:00.999	55212.186
02.06.2025	08:30:20.999	55213.339
02.06.2025	08:30:40.999	55213.8
02.06.2025	08:31:00.999	55214.322
02.06.2025	08:31:20.999	55214.827
02.06.2025	08:31:40.999	55215.866
02.06.2025	08:32:00.999	55216.958
02.06.2025	08:32:20.999	55218.095
02.06.2025	08:32:40.999	55218.977
02.06.2025	08:33:00.999	55219.85
02.06.2025	08:33:20.999	55220.498
02.06.2025	08:33:40.999	55221.304
02.06.2025	08:34:00.999	55221.95
02.06.2025	08:34:20.999	55222.051
02.06.2025	08:34:40.999	55222.292
02.06.2025	08:35:00.999	55222.238
02.06.2025	08:35:20.999	55222.307
02.06.2025	08:35:40.999	55222.541
02.06.2025	08:36:00.999	55222.715
02.06.2025	08:36:20.999	55222.755
02.06.2025	08:36:40.999	55222.848
02.06.2025	08:37:00.999	55222.743
02.06.2025	08:37:20.999	55223.178
02.06.2025	08:37:40.999	55223.376
02.06.2025	08:38:00.999	55223.256
02.06.2025	08:38:20.999	55223.237
02.06.2025	08:38:40.999	55222.804
02.06.2025	08:39:00.999	55222.392
02.06.2025	08:39:20.999	55221.813
02.06.2025	08:39:40.999	55221.896
02.06.2025	08:40:00.999	55219.66
02.06.2025	08:40:20.999	55217.784
02.06.2025	08:40:40.999	55217.646
02.06.2025	08:41:00.999	55217.52
02.06.2025	08:41:20.999	55217.417
02.06.2025	08:41:40.999	55216.568
02.06.2025	08:42:00.999	55215.552
02.06.2025	08:42:20.999	55214.199
02.06.2025	08:42:40.999	55212.589
02.06.2025	08:43:00.999	55211.632
02.06.2025	08:43:20.999	55211.154
02.06.2025	08:43:40.999	55210.803
02.06.2025	08:44:00.999	55210.318
02.06.2025	08:44:20.999	55209.761
02.06.2025	08:44:40.999	55209.232
02.06.2025	08:45:00.999	55208.85
02.06.2025	08:45:20.999	55208.424
02.06.2025	08:45:40.999	55207.931
02.06.2025	08:46:00.999	55207.131
02.06.2025	08:46:20.999	55206.403
02.06.2025	08:46:40.999	55205.973
02.06.2025	08:47:00.999	55205.474
02.06.2025	08:47:20.999	55205.21
02.06.2025	08:47:40.999	55205.323
02.06.2025	08:48:00.999	55205.509
02.06.2025	08:48:20.999	55205.733
02.06.2025	08:48:40.999	55206.307
02.06.2025	08:49:00.999	55206.796
02.06.2025	08:49:20.999	55207.545
02.06.2025	08:49:40.999	55208.281
